Player,Tm,FantPos,Age,G,GS,Pass Cmp,Pass Att,Pass Yds,Pass TD,Pass Int,Rush Att,Rush Yds,Rush Y/A,Rush TD,Rec Tgt,Rec Recept,Rec Yds,Rec Y/R,Rec TD,Fmb,FmbL,2PM,2PP
Isiah Pacheco,KAN,RB,25,7,6,0,0,0,0,0,83,310,3.73,1,16,12,79,6.58,0,0,0,,
Brandin Cooks,DAL,WR,31,10,9,0,0,0,0,0,3,-3,-1,0,54,26,259,9.96,3,0,0,,
Audric Estime,DEN,RB,21,13,1,0,0,0,0,0,76,310,4.08,2,5,5,27,5.4,0,2,1,,
Christian Kirk,JAX,WR,28,8,7,0,0,0,0,0,0,0,,0,47,27,379,14.04,1,0,0,,
Josh Oliver,MIN,TE,27,15,12,0,0,0,0,0,0,0,,0,28,22,258,11.73,3,0,0,,
Michael Penix,ATL,QB,24,5,3,61,105,775,3,3,7,11,1.57,1,0,0,0,,0,2,0,,
Evan Engram,JAX,TE,30,9,9,0,0,0,0,0,0,0,,0,64,47,365,7.77,1,1,1,1,
Dameon Pierce,HOU,RB,24,11,0,0,0,0,0,0,40,293,7.33,2,4,2,2,1,0,1,0,,
Trey Benson,ARI,RB,21,13,1,0,0,0,0,0,63,291,4.62,1,6,6,59,9.83,0,1,0,,
Rashee Rice,KAN,WR,24,4,4,0,0,0,0,0,1,1,1,0,29,24,288,12,2,0,0,,
Justin Watson,KAN,WR,28,17,7,0,0,0,0,0,0,0,,0,32,22,289,13.14,2,0,0,,
Van Jefferson,PIT,WR,28,17,12,0,0,0,0,0,0,0,,0,40,24,276,11.5,2,0,0,,
Kalif Raymond,DET,WR,30,12,2,0,0,0,0,0,2,0,0,0,22,17,215,12.65,2,0,0,,
Ja'Tavion Sanders,CAR,TE,21,16,8,0,0,0,0,0,0,0,,0,43,33,342,10.36,1,1,0,,
Tyler Boyd,TEN,WR,30,16,8,0,1,0,0,0,1,3,3,0,57,39,390,10,0,0,0,,
Emari Demercado,ARI,RB,25,13,0,0,0,0,0,0,24,223,9.29,1,20,16,104,6.5,0,0,0,,
Troy Franklin,DEN,WR,21,16,6,0,0,0,0,0,2,8,4,0,53,28,263,9.39,2,0,0,,
Theo Johnson,NYG,TE,23,12,11,0,0,0,0,0,0,0,,0,43,29,331,11.41,1,0,0,,
Kyle Juszczyk*,SFO,FB,33,17,15,0,0,0,0,0,5,26,5.2,1,31,19,200,10.53,2,1,1,,
Trey Sermon,IND,RB,25,17,3,0,0,0,0,0,56,159,2.84,2,19,16,99,6.19,0,0,0,,
Brandon Aiyuk,SFO,WR,26,7,7,0,0,0,0,0,0,0,,0,47,25,374,14.96,0,0,0,,
Kendrick Bourne,NWE,WR,29,12,9,0,1,0,0,0,1,6,6,0,38,28,305,10.89,1,0,0,,
Dyami Brown,WAS,WR,25,16,3,0,1,0,0,0,3,26,8.67,0,40,30,308,10.27,1,1,1,,
Isaiah Davis,NYJ,RB,22,17,0,0,0,0,0,0,30,174,5.8,1,12,9,75,8.33,1,0,0,,
Dawson Knox,BUF,TE,28,16,13,0,0,0,0,0,0,0,,0,33,22,311,14.14,1,0,0,,
Dare Ogunbowale,HOU,RB,30,17,1,0,0,0,0,0,30,112,3.73,0,28,19,198,10.42,1,0,0,,
Grant Calcaterra,PHI,TE,26,17,13,0,0,0,0,0,0,0,,0,30,24,298,12.42,1,0,0,,
Mike Williams,2TM,WR,30,18,5,0,0,0,0,0,0,0,,0,34,21,298,14.19,1,0,0,,
Nelson Agholor,BAL,WR,31,14,7,0,0,0,0,0,0,0,,0,29,14,231,16.5,2,0,0,,
Tyler Johnson,LAR,WR,26,15,2,0,0,0,0,0,0,0,,0,41,26,291,11.19,1,0,0,,
Colby Parkinson,LAR,TE,25,17,9,0,0,0,0,0,0,0,,0,49,30,294,9.8,1,0,0,,
JuJu Smith-Schuster,KAN,WR,28,14,8,0,0,0,0,0,0,0,,0,26,18,231,12.83,2,0,0,,
Gabriel Davis,JAX,WR,25,10,9,0,0,0,0,0,0,0,,0,42,20,239,11.95,2,1,1,,
Tyler Goodson,IND,RB,24,16,0,0,0,0,0,0,32,153,4.78,1,15,11,61,5.55,1,0,0,,
Lil'Jordan Humphrey,DEN,WR,26,17,7,0,0,0,0,0,0,0,,0,45,31,293,9.45,1,2,1,,
Christian McCaffrey,SFO,RB,28,4,4,0,0,0,0,0,50,202,4.04,0,19,15,146,9.73,0,1,1,,
Curtis Samuel,BUF,WR,28,14,2,0,0,0,0,0,5,14,2.8,0,46,31,253,8.16,1,0,0,,
Tommy Tremble,CAR,TE,24,12,11,0,0,0,0,0,0,0,,0,32,23,234,10.17,2,1,1,,
Josh Whyle,TEN,TE,25,17,4,0,0,0,0,0,0,0,,0,37,28,248,8.86,1,0,0,1,
Nick Vannett,TEN,TE,31,17,10,0,0,0,0,0,0,0,,0,20,17,135,7.94,3,0,0,,
Chris Brooks,GNB,RB,24,15,0,0,0,0,0,0,36,183,5.08,1,13,11,69,6.27,0,0,0,,
Joshua Dobbs,SFO,QB,29,2,1,32,47,361,2,2,9,24,2.67,2,0,0,0,,0,2,1,,
John Metchie,HOU,WR,24,13,3,0,0,0,0,0,0,0,,0,37,24,254,10.58,1,1,0,,
Adonai Mitchell,IND,WR,22,17,7,1,1,24,0,0,4,6,1.5,0,55,23,312,13.57,0,2,1,,
Chris Rodriguez,WAS,RB,24,9,0,0,0,0,0,0,35,173,4.94,2,1,1,12,12,0,0,0,,
Adam Trautman,DEN,TE,27,17,14,0,0,0,0,0,0,0,,0,22,13,188,14.46,2,0,0,,
DJ Turner,LVR,WR,27,12,6,0,0,0,0,0,5,33,6.6,1,29,16,158,9.88,1,1,0,,
Jordan Whittington,LAR,WR,24,15,3,0,0,0,0,0,2,12,6,0,28,22,293,13.32,0,0,0,,
Nate Adkins,DEN,TE,25,17,10,0,0,0,0,0,0,0,,0,15,14,115,8.21,3,0,0,,
Hassan Haskins,LAC,RB,25,17,0,0,0,0,0,0,34,89,2.62,2,3,3,49,16.33,1,1,1,,
Luke Schoonmaker,DAL,TE,26,17,6,0,0,0,0,0,0,0,,0,36,27,241,8.93,1,0,0,,
Cedrick Wilson Jr.,NOR,WR,29,15,4,1,1,21,1,0,0,0,,0,27,20,211,10.55,1,1,1,,
Elijah Higgins,ARI,TE,24,17,6,0,0,0,0,0,0,0,,0,24,20,172,8.6,2,0,0,,
Tanner McKee,PHI,QB,24,2,1,30,45,323,4,0,5,-1,-0.2,0,0,0,0,,0,0,0,,
Malik Washington,MIA,WR,23,14,3,0,0,0,0,0,5,25,5,1,36,26,223,8.58,0,1,1,,
Kimani Vidal,LAC,RB,23,10,0,0,0,0,0,0,43,155,3.6,0,9,5,62,12.4,1,1,0,,
Jamaal Williams,NOR,RB,29,14,1,0,0,0,0,0,48,164,3.42,1,11,9,57,6.33,0,0,0,,
Blake Corum,LAR,RB,24,17,1,0,0,0,0,0,58,207,3.57,0,8,7,58,8.29,0,0,0,,
Derius Davis,LAC,WR,24,15,2,0,0,0,0,0,12,39,3.25,0,17,13,112,8.62,2,3,0,,
D'Onta Foreman,CLE,RB,28,11,3,0,0,0,0,0,71,232,3.27,0,8,6,54,9,0,2,1,,
Patrick Taylor,SFO,RB,26,13,1,0,0,0,0,0,39,183,4.69,1,11,3,25,8.33,0,0,0,,
Johnny Mundt,MIN,TE,30,17,3,0,0,0,0,0,0,0,,0,27,19,142,7.47,2,0,0,,
Cordarrelle Patterson,PIT,RB,33,13,1,0,0,0,0,0,32,135,4.22,0,14,12,80,6.67,1,1,1,,
Darnell Washington,PIT,TE,23,17,9,0,0,0,0,0,0,0,,0,25,19,200,10.53,1,0,0,,
Michael Carter,ARI,RB,25,3,1,0,0,0,0,0,35,131,3.74,1,11,11,57,5.18,0,0,0,,
KhaDarel Hodge*,ATL,WR,29,17,2,0,0,0,0,0,0,0,,0,12,7,131,18.71,1,0,0,,
Ryan Miller,TAM,WR,24,11,3,0,0,0,0,0,0,0,,0,20,12,128,10.67,2,0,0,,
Kenny Pickett,PHI,QB,26,5,1,25,42,291,2,1,9,15,1.67,1,0,0,0,,0,1,0,,
Josh Reynolds,2TM,WR,29,9,2,0,0,0,0,0,0,0,,0,24,13,194,14.92,1,0,0,,
Tylan Wallace,BAL,WR,25,17,0,0,0,0,0,0,0,0,,0,12,11,193,17.55,1,1,0,,
Jalen Brooks,DAL,WR,24,14,1,0,0,0,0,0,0,0,,0,30,12,177,14.75,1,0,0,,
Payne Durham,TAM,TE,24,16,6,0,0,0,0,0,0,0,,0,14,11,115,10.45,2,1,0,,
D'Ernest Johnson,JAX,RB,28,14,1,0,0,0,0,0,32,143,4.47,0,19,12,96,8,0,0,0,,
Kendre Miller,NOR,RB,22,6,2,0,0,0,0,0,39,148,3.79,1,8,5,33,6.6,0,0,0,,
Jaylen Wright,MIA,RB,21,15,1,0,0,0,0,0,68,249,3.66,0,6,3,8,2.67,0,1,1,,
Jahan Dotson,PHI,WR,24,17,6,0,0,0,0,0,1,13,13,0,33,19,216,11.37,0,0,0,,
Trey Palmer,TAM,WR,23,15,3,0,0,0,0,0,0,0,,0,22,12,172,14.33,1,1,0,,
Zamir White,LVR,RB,25,8,5,0,0,0,0,0,65,183,2.82,1,8,6,30,5,0,2,2,,
Ty Chandler,MIN,RB,26,17,0,0,0,0,0,0,56,182,3.25,0,6,6,42,7,0,0,0,,
Malik Heath,GNB,WR,24,13,1,0,0,0,0,0,0,0,,0,13,10,97,9.7,2,0,0,,
Khalil Herbert,2TM,RB,26,14,1,0,0,0,0,0,36,130,3.61,1,11,10,25,2.5,0,1,0,,
Desmond Ridder,LVR,QB,25,6,1,52,85,458,2,2,9,36,4,0,0,0,0,,0,3,2,,
Brock Wright,DET,TE,26,17,8,0,0,0,0,0,0,0,,0,16,13,100,7.69,2,0,0,,
Mo Alie-Cox,IND,TE,31,17,13,0,0,0,0,0,0,0,,0,22,12,147,12.25,1,0,0,,
Mecole Hardman,KAN,WR,26,12,0,0,0,0,0,0,5,62,12.4,1,14,12,90,7.5,0,0,0,,
Sincere McCormick,LVR,RB,24,5,2,0,0,0,0,0,39,183,4.69,0,7,6,29,4.83,0,0,0,,
Ja'Lynn Polk,NWE,WR,22,15,7,0,0,0,0,0,1,0,0,0,33,12,87,7.25,2,0,0,,
Pierre Strong,CLE,RB,26,14,0,0,0,0,0,0,26,108,4.15,0,22,14,104,7.43,0,0,0,,
Jimmy Garoppolo,LAR,QB,33,1,1,27,41,334,2,1,2,5,2.5,0,0,0,0,,0,0,0,,
Tanner Hudson,CIN,TE,30,11,0,0,0,0,0,0,1,1,1,0,23,19,154,8.11,1,1,1,,
Dante Pettis,NOR,WR,29,8,0,0,0,0,0,0,0,0,,0,28,12,120,10,1,0,0,1,
Tyrod Taylor,NYJ,QB,35,2,0,17,22,119,3,0,3,13,4.33,0,0,0,0,,0,1,0,,1
Michael Burton,DEN,FB,32,17,2,0,0,0,0,0,7,8,1.14,1,10,10,65,6.5,1,0,0,,
Jamycal Hasty,NWE,RB,28,15,0,0,0,0,0,0,20,69,3.45,0,12,10,59,5.9,1,0,0,,
Tyler Higbee,LAR,TE,31,3,3,0,0,0,0,0,0,0,,0,12,8,66,8.25,2,0,0,,
Charlie Kolar,BAL,TE,25,13,3,0,0,0,0,0,1,2,2,0,11,9,131,14.56,1,0,0,,
Kenny McIntosh,SEA,RB,24,17,0,0,0,0,0,0,31,172,5.55,0,4,3,22,7.33,0,0,0,,
Joe Milton,NWE,QB,24,1,0,22,29,241,1,0,10,16,1.6,1,0,0,0,,0,1,1,,
Stone Smartt,LAC,TE,26,15,2,0,0,0,0,0,0,0,,0,19,16,208,13,0,1,1,,
Cade Stover,HOU,TE,24,15,9,0,0,0,0,0,0,0,,0,22,15,133,8.87,1,0,0,,
DeeJay Dallas,ARI,RB,26,17,0,0,0,0,0,0,9,49,5.44,0,3,3,11,3.67,1,1,0,,
Kylen Granson,IND,TE,26,17,6,0,0,0,0,0,0,0,,0,31,14,182,13,0,0,0,,
Bub Means,NOR,WR,23,7,1,0,0,0,0,0,0,0,,0,15,9,118,13.11,1,0,0,,
Craig Reynolds,DET,RB,28,17,0,0,0,0,0,0,31,139,4.48,0,5,3,40,13.33,0,1,0,,
Robert Woods,HOU,WR,32,15,4,0,0,0,0,0,0,0,,0,30,20,203,10.15,0,3,1,,
