Player,Tm,FantPos,Age,G,GS,Pass Cmp,Pass Att,Pass Yds,Pass TD,Pass Int,Rush Att,Rush Yds,Rush Y/A,Rush TD,Rec Tgt,Rec Recept,Rec Yds,Rec Y/R,Rec TD,Fmb,FmbL,2PM,2PP
Bailey Zappe,CLE,QB,25,1,1,16,31,170,1,2,2,2,1,0,0,0,0,,0,0,0,,
Brandon Allen,SFO,QB,32,3,1,17,30,199,1,2,3,4,1.33,0,0,0,0,,0,2,1,,
Tyler Badie,DEN,RB,24,3,0,0,0,0,0,0,11,86,7.82,0,3,3,-2,-0.67,0,1,1,,
John Bates,WAS,TE,27,17,6,0,0,0,0,0,0,0,,0,13,8,84,10.5,0,1,1,,
Odell Beckham Jr.,MIA,WR,32,9,0,0,0,0,0,0,0,0,,0,18,9,55,6.11,0,0,0,,
Jalin Hyatt,NYG,WR,23,16,3,0,0,0,0,0,0,0,,0,19,8,62,7.75,0,0,0,,
Hunter Long,LAR,TE,26,17,2,0,0,0,0,0,0,0,,0,9,7,60,8.57,0,0,0,,
Keaton Mitchell,BAL,RB,22,5,0,0,0,0,0,0,15,30,2,0,1,1,28,28,0,0,0,,
Kene Nwangwu,NYJ,RB,26,2,0,0,0,0,0,0,0,0,,0,0,0,0,,0,0,0,,
Laviska Shenault Jr.,2TM,WR,26,12,2,0,0,0,0,0,1,1,1,0,5,5,36,7.2,0,2,2,,
Ihmir Smith-Marsette,NYG,WR,25,15,0,0,0,0,0,0,0,0,,0,0,0,0,,0,1,0,,
Mike Boone,CAR,RB,29,6,0,0,0,0,0,0,13,51,3.92,0,3,1,-2,-2,0,0,0,,
Jonathon Brooks,CAR,RB,21,3,1,0,0,0,0,0,9,22,2.44,0,3,3,23,7.67,0,0,0,,
Pharaoh Brown,SEA,TE,30,15,7,0,0,0,0,0,0,0,,0,12,8,65,8.13,0,1,1,,
DeAndre Carter,CHI,WR,31,13,0,0,0,0,0,0,0,0,,0,14,9,72,8,0,1,1,,
Peyton Hendershot,KAN,TE,25,7,1,0,0,0,0,0,0,0,,0,5,5,51,10.2,0,0,0,,
Charlie Jones,CIN,WR,26,8,0,0,0,0,0,0,0,0,,0,1,1,5,5,0,2,1,,
Luke Musgrave,GNB,TE,24,7,3,0,0,0,0,0,0,0,,0,10,7,45,6.43,0,0,0,,
Nikko Remigio,KAN,WR,25,5,1,0,0,0,0,0,0,0,,0,6,2,48,24,0,1,0,,
Durham Smythe,MIA,TE,29,17,4,0,0,0,0,0,0,0,,0,17,9,53,5.89,0,0,0,,
Tyquan Thornton,NWE,WR,24,6,1,0,0,0,0,0,0,0,,0,8,4,47,11.75,0,0,0,,
Sione Vaki,DET,RB,23,16,0,0,0,0,0,0,6,14,2.33,0,3,3,37,12.33,0,0,0,,
Carson Wentz,KAN,QB,32,3,1,12,19,118,0,0,3,0,0,0,0,0,0,,0,0,0,,
Charlie Woerner,ATL,TE,27,16,5,0,0,0,0,0,0,0,,0,12,7,46,6.57,0,0,0,,
Davis Allen,LAR,TE,23,15,5,0,0,0,0,0,0,0,,0,13,6,39,6.5,0,0,0,,
Treylon Burks,TEN,WR,24,5,2,0,0,0,0,0,2,1,0.5,0,8,4,34,8.5,0,0,0,,
Dan Chisena,CAR,WR,27,6,0,0,0,0,0,0,0,0,,0,4,3,37,12.33,0,0,0,,
D'Wayne Eskridge,MIA,WR,27,6,0,0,0,0,0,0,0,0,,0,3,3,44,14.67,0,0,0,,
Gerald Everett,CHI,TE,30,17,4,0,0,0,0,0,0,0,,0,13,8,36,4.5,0,0,0,,
Tucker Fisk,LAC,TE,25,9,5,0,0,0,0,0,0,0,,0,8,7,39,5.57,0,0,0,,
Tim Jones,JAX,WR,26,17,0,0,0,0,0,0,0,0,,0,5,3,41,13.67,0,0,0,,
Jacob Kibodi,CLE,RB,26,1,0,0,0,0,0,0,5,24,4.8,0,3,1,15,15,0,0,0,,
Terrace Marshall Jr.,LVR,WR,24,7,1,0,0,0,0,0,0,0,,0,6,3,41,13.67,0,0,0,,
Tip Reiman,ARI,TE,23,17,9,0,0,0,0,0,0,0,,0,7,6,37,6.17,0,0,0,,
Ben Sims,GNB,TE,24,17,5,0,0,0,0,0,0,0,,0,5,4,42,10.5,0,0,0,,
Xavier Smith,LAR,WR,27,15,0,0,0,0,0,0,4,36,9,0,2,2,6,3,0,0,0,,
J.J. Taylor,HOU,RB,26,5,0,0,0,0,0,0,10,44,4.4,0,3,2,0,0,0,0,0,,
Cody White,SEA,WR,26,4,0,0,0,0,0,0,0,0,,0,3,2,44,22,0,0,0,,
Rasheen Ali,BAL,RB,23,6,0,0,0,0,0,0,10,31,3.1,0,2,0,0,,0,0,0,,
Alex Bachman,LVR,WR,28,6,1,0,0,0,0,0,0,0,,0,3,3,31,10.33,0,0,0,,
David Bell,CLE,WR,24,1,0,0,0,0,0,0,0,0,,0,3,3,27,9,0,0,0,,
Dalvin Cook,DAL,RB,29,2,0,0,0,0,0,0,8,20,2.5,0,1,1,10,10,0,0,0,,
Britain Covey,PHI,WR,27,5,1,0,0,0,0,0,0,0,,0,8,7,34,4.86,0,0,0,,
Greg Dulcich,2TM,TE,24,9,3,0,0,0,0,0,0,0,,0,12,5,28,5.6,0,0,0,,
Cam Grandy,CIN,TE,24,8,6,0,0,0,0,0,0,0,,0,5,5,28,5.6,0,0,0,,
Taylor Heinicke,LAC,QB,31,4,0,3,5,28,0,0,2,20,10,0,0,0,0,,0,0,0,,
Travis Homer,CHI,RB,26,10,0,0,0,0,0,0,6,23,3.83,0,3,3,11,3.67,0,0,0,,
Hendon Hooker,DET,QB,26,3,0,6,9,62,0,0,5,2,0.4,0,0,0,0,,0,0,0,,
Jermar Jefferson,DET,RB,24,2,0,0,0,0,0,0,6,22,3.67,0,1,1,10,10,0,0,0,,
Terrell Jennings,NWE,RB,23,3,0,0,0,0,0,0,13,33,2.54,0,1,0,0,,0,0,0,,
Will Mallory,IND,TE,25,10,0,0,0,0,0,0,0,0,,0,8,4,29,7.25,0,0,0,,
Jase McClellan,ATL,RB,22,2,0,0,0,0,0,0,13,32,2.46,0,0,0,0,,0,0,0,,
Allen Robinson,DET,WR,31,12,0,0,0,0,0,0,0,0,,0,7,3,30,10,0,0,0,,
Deven Thompkins,CAR,WR,25,7,0,0,0,0,0,0,2,7,3.5,0,4,4,20,5,0,0,0,,
Jaheim Bell,NWE,TE,23,15,0,0,0,0,0,0,0,0,,0,3,2,20,10,0,0,0,,
Ronnie Bell,SFO,WR,24,9,0,0,0,0,0,0,0,0,,0,6,2,22,11,0,0,0,,
Chris Blair,ATL,WR,27,4,0,0,0,0,0,0,0,0,,0,2,1,17,17,0,0,0,,
Tanner Conner,MIA,TE,26,8,1,0,0,0,0,0,0,0,,0,4,3,16,5.33,0,0,0,,
Malachi Corley,NYJ,WR,22,9,1,0,0,0,0,0,2,26,13,0,6,3,16,5.33,0,1,1,,
Anthony Gould,IND,WR,23,8,0,0,0,0,0,0,0,0,,0,1,1,23,23,0,0,0,,
Dallin Holker,NOR,TE,24,12,2,0,0,0,0,0,0,0,,0,4,3,21,7,0,0,0,,
Trenton Irwin,CIN,WR,29,7,2,0,0,0,0,0,0,0,,0,10,3,15,5,0,0,0,,
Mason Kinsey,TEN,WR,26,6,0,0,0,0,0,0,0,0,,0,2,2,17,8.5,0,0,0,,
MarShawn Lloyd,GNB,RB,23,1,0,0,0,0,0,0,6,15,2.5,0,1,1,3,3,0,0,0,,
Anthony Miller,BAL,WR,30,2,0,0,0,0,0,0,0,0,,0,1,1,16,16,0,0,0,,
Aaron Shampklin,PIT,RB,25,3,0,0,0,0,0,0,6,17,2.83,0,0,0,0,,0,0,0,,
Jamari Thrash,CLE,WR,24,9,0,0,0,0,0,0,0,0,,0,7,3,22,7.33,0,0,0,,
Austin Trammell,JAX,WR,26,1,0,0,0,0,0,0,0,0,,0,3,2,40,20,0,1,1,,
Jonathan Ward,PIT,RB,27,4,0,0,0,0,0,0,5,22,4.4,0,0,0,0,,0,0,0,,
Blake Watson,DEN,RB,25,2,0,0,0,0,0,0,4,10,2.5,0,2,1,13,13,0,0,0,,
Shane Zylstra,DET,TE,28,12,1,0,0,0,0,0,0,0,,0,1,1,22,22,0,0,0,,
Kyle Allen,PIT,QB,28,1,0,1,1,19,0,0,0,0,,0,0,0,0,,0,0,0,,
Robbie Chosen,MIA,WR,31,2,0,0,0,0,0,0,0,0,,0,4,1,5,5,0,0,0,,
Javon Baker,NWE,WR,22,11,1,0,0,0,0,0,0,0,,0,4,1,12,12,0,0,0,,
Chris Collier,2TM,RB,24,8,0,0,0,0,0,0,5,12,2.4,0,2,1,-4,-4,0,0,0,,
Jaelon Darden,2TM,WR,25,12,1,0,0,0,0,0,0,0,,0,1,1,6,6,0,0,0,,
Tyrion Davis-Price,PHI,RB,24,1,0,0,0,0,0,0,3,7,2.33,0,0,0,0,,0,0,0,,
Zach Davidson,BUF,TE,26,2,0,0,0,0,0,0,0,0,,0,2,1,5,5,0,0,0,,
Josiah Deguara,JAX,TE,27,15,0,0,0,0,0,0,0,0,,0,3,3,14,4.67,0,0,0,,
Grant Dubose,MIA,WR,23,3,0,0,0,0,0,0,0,0,,0,4,2,11,5.5,0,0,0,,
Ross Dwelley,ATL,TE,29,17,0,0,0,0,0,0,0,0,,0,1,1,5,5,0,0,0,,
Jody Fortson,KAN,TE,29,3,0,0,0,0,0,0,0,0,,0,3,1,5,5,0,0,0,,
Feleipe Franks,CAR,TE,27,16,0,0,0,0,0,0,0,0,,0,3,1,12,12,0,0,0,,
Myles Gaskin,MIN,RB,27,5,0,0,0,0,0,0,3,-1,-0.33,0,1,1,11,11,0,0,0,,
Reggie Gilliam,BUF,FB,27,15,0,0,0,0,0,0,3,7,2.33,0,0,0,0,,0,0,0,,
Isaiah Hodgins,NYG,WR,26,3,0,0,0,0,0,0,0,0,,0,2,2,12,6,0,0,0,,
George Holani,SEA,RB,25,5,0,0,0,0,0,0,3,10,3.33,0,1,1,-1,-1,0,0,0,,
Brandon Johnson,PIT,WR,26,3,0,0,0,0,0,0,0,0,,0,1,1,9,9,0,0,0,,
Collin Johnson,CHI,WR,27,9,0,0,0,0,0,0,0,0,,0,2,1,6,6,0,0,0,,
Josh Johnson,BAL,QB,38,6,0,2,3,17,0,0,4,1,0.25,0,0,0,0,,0,0,0,,
Kameron Johnson,TAM,WR,22,5,0,0,0,0,0,0,2,11,5.5,0,1,0,0,,0,0,0,,
Brevin Jordan,HOU,TE,24,2,1,0,0,0,0,0,0,0,,0,3,2,7,3.5,0,0,0,,
Ramel Keyton,LVR,WR,24,8,0,0,0,0,0,0,0,0,,0,3,1,7,7,0,0,0,,
David Martin-Robinson,TEN,TE,25,5,2,0,0,0,0,0,0,0,,0,2,1,6,6,0,0,0,,
Tyreik McAllister,LVR,WR,26,3,0,0,0,0,0,0,2,11,5.5,0,0,0,0,,0,0,0,,
Nick Mullens,MIN,QB,29,4,0,2,2,38,0,0,3,-2,-0.67,0,0,0,0,,0,0,0,,
Chris Oladokun,KAN,QB,27,1,0,0,0,0,0,0,1,5,5,0,0,0,0,,0,1,0,,
Kendric Pryor,CIN,WR,26,1,0,0,0,0,0,0,0,0,,0,1,1,9,9,0,0,0,,
John Ross,PHI,WR,29,1,0,0,0,0,0,0,0,0,,0,2,1,6,6,0,0,0,,
Cody Schrader,LAR,RB,25,1,0,0,0,0,0,0,1,3,3,0,1,1,6,6,0,0,0,,
Tyler Scott,CHI,WR,23,11,0,0,0,0,0,0,0,0,,0,1,1,5,5,0,0,0,,
John Samuel Shenker,LVR,TE,26,8,0,0,0,0,0,0,0,0,,0,1,1,7,7,0,0,0,,
Jarrett Stidham,DEN,QB,28,3,0,0,0,0,0,0,4,5,1.25,0,0,0,0,,0,0,0,,
Jack Stoll,2TM,TE,26,11,2,0,0,0,0,0,0,0,,0,3,2,10,5,0,0,0,,
Geoff Swaim,CLE,TE,31,8,2,0,0,0,0,0,0,0,,0,1,1,7,7,0,0,0,,
Trent Taylor,SFO,WR,30,2,0,0,0,0,0,0,0,0,,0,1,1,11,11,0,0,0,,
Ian Thomas,CAR,TE,28,5,2,0,0,0,0,0,0,0,,0,6,3,7,2.33,0,0,0,,
Eric Tomlinson,LAC,TE,32,9,1,0,0,0,0,0,0,0,,0,4,2,9,4.5,0,0,0,,
Casey Washington,ATL,WR,23,8,0,0,0,0,0,0,0,0,,0,2,1,14,14,0,0,0,,
Mike White,BUF,QB,29,1,0,3,11,28,0,0,0,0,,0,0,0,0,,0,0,0,,
Jared Wiley,KAN,TE,24,7,2,0,0,0,0,0,0,0,,0,1,1,7,7,0,0,0,,
Isaiah Williams,2TM,WR,23,8,0,0,0,0,0,0,0,0,,0,3,2,6,3,0,0,0,,
Maurice Alexander,DET,WR,27,3,0,0,0,0,0,0,0,0,,0,0,0,0,,0,1,0,,
Tyson Bagent,CHI,QB,24,4,0,2,2,11,0,0,6,-7,-1.17,0,0,0,0,,0,0,0,,
Brenden Bates,2TM,TE,25,7,0,0,0,0,0,0,0,0,,0,1,0,0,,0,0,0,,
Andrew Beck,2TM,TE,28,4,0,0,0,0,0,0,0,0,,0,2,0,0,,0,0,0,,
Braxton Berrios,MIA,WR,29,6,0,0,0,0,0,0,0,0,,0,4,0,0,,0,0,0,,
Khari Blasingame,2TM,RB,28,5,0,0,0,0,0,0,0,0,,0,0,0,0,,0,0,0,,
Gary Brightwell,CLE,RB,25,2,0,0,0,0,0,0,0,0,,0,0,0,0,,0,0,0,,
British Brooks,HOU,RB,25,5,0,0,0,0,0,0,1,2,2,0,0,0,0,,0,0,0,,
Jake Browning,CIN,QB,28,3,0,0,0,0,0,0,2,-2,-1,0,0,0,0,,0,0,0,,
Marquez Callaway,TAM,WR,26,2,0,0,0,0,0,0,0,0,,0,0,0,0,,0,0,0,,
Joshua Cephus,JAX,WR,23,1,0,0,0,0,0,0,0,0,,0,0,0,0,,0,0,0,,
Irvin Charles,NYJ,WR,27,13,0,0,0,0,0,0,0,0,,0,1,0,0,,0,0,0,,
Elijah Cooks,JAX,WR,26,2,0,0,0,0,0,0,0,0,,0,0,0,0,,0,0,0,,
Baylor Cupp,KAN,TE,24,1,0,0,0,0,0,0,0,0,,0,1,0,0,,0,0,0,,
Kaden Davis,CLE,WR,26,1,0,0,0,0,0,0,0,0,,0,0,0,0,,0,0,0,,
Jeff Driskel,WAS,QB,31,1,0,0,0,0,0,0,0,0,,0,0,0,0,,0,0,0,,
Alex Erickson,NWE,WR,32,3,0,0,0,0,0,0,0,0,,0,0,0,0,,0,0,0,,
Darrynton Evans,CHI,RB,26,5,0,0,0,0,0,0,3,3,1,0,0,0,0,,0,0,0,,
Erik Ezukanma,MIA,WR,24,2,0,0,0,0,0,0,0,0,,0,2,0,0,,0,0,0,,
Princeton Fant,DAL,TE,25,8,0,0,0,0,0,0,0,0,,0,0,0,0,,0,0,0,,
Anthony Firkser,2TM,TE,29,7,0,0,0,0,0,0,0,0,,0,0,0,0,,0,0,0,,
Dez Fitzpatrick,LAC,WR,27,1,0,0,0,0,0,0,0,0,,0,0,0,0,,0,0,0,,
John FitzPatrick,GNB,TE,24,9,0,0,0,0,0,0,0,0,,0,1,1,2,2,0,0,0,,
Bryce Ford-Wheaton,NYG,WR,24,14,0,0,0,0,0,0,0,0,,0,0,0,0,,0,0,0,,
Troy Hairston,HOU,FB,26,2,0,0,0,0,0,0,0,0,,0,0,0,0,,0,0,0,,
Deonte Harty,BAL,WR,27,5,0,0,0,0,0,0,0,0,,0,0,0,0,,0,0,0,,
Parker Hesse,DET,TE,29,5,1,0,0,0,0,0,0,0,,0,0,0,0,,0,0,0,,
Evan Hull,IND,RB,24,1,0,0,0,0,0,0,0,0,,0,0,0,0,,0,0,0,,
Keaontay Ingram,KAN,RB,25,1,0,0,0,0,0,0,0,0,,0,0,0,0,,0,0,0,,
Jermaine Jackson,NOR,WR,24,4,0,0,0,0,0,0,1,-1,-1,0,0,0,0,,0,0,0,,
Trishton Jackson,MIN,WR,26,2,0,0,0,0,0,0,0,0,,0,0,0,0,,0,0,0,,
Jaylen Johnson,LAC,WR,24,1,0,0,0,0,0,0,0,0,,0,0,0,0,,0,0,0,,
Jakob Johnson,NYG,FB,30,3,1,0,0,0,0,0,0,0,,0,0,0,0,,0,0,0,,
Velus Jones Jr.,2TM,WR,27,3,0,0,0,0,0,0,3,11,3.67,0,1,1,8,8,0,1,1,,
Nikola Kalinic,LAR,TE,27,2,0,0,0,0,0,0,0,0,,0,0,0,0,,0,0,0,,
John Kelly,BAL,RB,28,2,0,0,0,0,0,0,0,0,,0,0,0,0,,0,0,0,,
Joshua Kelley,TEN,RB,27,3,0,0,0,0,0,0,1,2,2,0,0,0,0,,0,0,0,,
Tom Kennedy,DET,WR,28,4,0,0,0,0,0,0,0,0,,0,1,0,0,,0,0,0,,
Ko Kieft,TAM,TE,26,17,1,0,0,0,0,0,0,0,,0,0,0,0,,0,0,0,,
Zack Kuntz,NYJ,TE,25,1,0,0,0,0,0,0,0,0,,0,0,0,0,,0,0,0,,
Marcedes Lewis,CHI,TE,40,17,4,0,0,0,0,0,0,0,,0,2,1,2,2,0,0,0,,
Tyler Mabry,SEA,TE,28,2,0,0,0,0,0,0,0,0,,0,0,0,0,,0,0,0,,
Jordan Matthews,CAR,TE,32,4,1,0,0,0,0,0,0,0,,0,1,0,0,,0,0,0,,
Tanner McLachlan,CIN,TE,25,2,0,0,0,0,0,0,0,0,,0,0,0,0,,0,0,0,,
Dante Miller,NYG,RB,25,2,0,0,0,0,0,0,0,0,,0,0,0,0,,0,0,0,,
Kendall Milton,CIN,RB,22,2,0,0,0,0,0,0,0,0,,0,0,0,0,,0,0,0,,
James Mitchell,DET,TE,25,1,0,0,0,0,0,0,0,0,,0,0,0,0,,0,0,0,,
Chris Moore,ARI,WR,31,5,0,0,0,0,0,0,0,0,,0,0,0,0,,0,0,0,,
Chris Moore,WAS,WR,31,0,0,,,,,,,,,,,,,,,,,,
Skyy Moore,KAN,WR,24,6,0,0,0,0,0,0,0,0,,0,3,0,0,,0,0,0,,
Jalen Moreno-Cropper,DAL,WR,23,1,0,0,0,0,0,0,0,0,,0,0,0,0,,0,0,0,,
Nick Muse,MIN,TE,26,4,0,0,0,0,0,0,0,0,,0,0,0,0,,0,0,0,,
Thomas Odukoya,TEN,TE,27,2,0,0,0,0,0,0,0,0,,0,0,0,0,,0,0,0,,
Zach Pascal,ARI,WR,30,17,0,0,0,0,0,0,0,0,,0,0,0,0,,0,0,0,,
Jaret Patterson,LAC,RB,25,1,0,0,0,0,0,0,0,0,,0,0,0,0,,0,0,0,,
Adam Prentice,NOR,FB,27,17,7,0,0,0,0,0,0,0,,0,4,0,0,,0,0,0,,
James Proche,CLE,WR,28,9,0,0,0,0,0,0,0,0,,0,3,3,21,7,0,1,1,,
Teagan Quitoriano,HOU,TE,24,7,4,0,0,0,0,0,0,0,,0,0,0,0,,0,0,0,,
Brenden Rice,LAC,WR,22,3,0,0,0,0,0,0,0,0,,0,0,0,0,,0,0,0,,
Keilan Robinson,JAX,RB,24,6,0,0,0,0,0,0,0,0,,0,0,0,0,,0,0,0,,
Justyn Ross,KAN,WR,25,2,0,0,0,0,0,0,0,0,,0,1,0,0,,0,0,0,,
Brady Russell,SEA,TE,26,11,0,0,0,0,0,0,0,0,,0,0,0,0,,0,0,0,,
Justin Shorter,LVR,TE,24,10,0,0,0,0,0,0,0,0,,0,0,0,0,,0,0,0,,
Brandon Smith,NYJ,WR,26,1,0,0,0,0,0,0,0,0,,0,0,0,0,,0,0,0,,
Irv Smith Jr.,HOU,TE,26,5,1,0,0,0,0,0,0,0,,0,0,0,0,,0,0,0,,
Equanimeous St. Brown,NOR,WR,28,2,0,0,0,0,0,0,0,0,,0,0,0,0,,0,0,0,,
Stephen Sullivan,CAR,TE,28,1,0,0,0,0,0,0,0,0,,0,1,0,0,,0,0,0,,
Cody Thompson,TAM,WR,28,1,0,0,0,0,0,0,0,0,,0,0,0,0,,0,0,0,,
Jake Tonges,SFO,TE,25,16,0,0,0,0,0,0,0,0,,0,0,0,0,,0,0,0,,
Robert Tonyan,MIN,TE,30,5,0,0,0,0,0,0,0,0,,0,0,0,0,,0,0,0,,
Kyle Trask,TAM,QB,26,4,0,1,1,5,0,0,5,-4,-0.8,0,0,0,0,,0,0,0,,
Laquon Treadwell,IND,WR,29,2,0,0,0,0,0,0,0,0,,0,0,0,0,,0,0,0,,
Brycen Tremayne,WAS,WR,25,2,0,0,0,0,0,0,0,0,,0,1,1,-2,-2,0,0,0,,
C.J. Uzomah,PHI,TE,31,7,3,0,0,0,0,0,0,0,,0,0,0,0,,0,0,0,,
Ke'Shawn Vaughn,SFO,RB,27,3,0,0,0,0,0,0,2,4,2,0,0,0,0,,0,0,0,,
Jalen Virgil,BUF,WR,26,7,0,0,0,0,0,0,0,0,,0,0,0,0,,0,0,0,,
Travis Vokolek,ARI,TE,26,1,0,0,0,0,0,0,0,0,,0,0,0,0,,0,0,0,,
Carlos Washington,ATL,RB,26,1,0,0,0,0,0,0,0,0,,0,0,0,0,,0,0,0,,
Montrell Washington,KAN,WR,25,1,0,0,0,0,0,0,0,0,,0,0,0,0,,0,0,0,,
Jared Wayne,HOU,WR,24,3,0,0,0,0,0,0,0,0,,0,0,0,0,,0,0,0,,
Xavier Weaver,ARI,WR,24,2,0,0,0,0,0,0,0,0,,0,2,0,0,,0,0,0,,
Jack Westover,NWE,TE,25,3,0,0,0,0,0,0,0,0,,0,0,0,0,,0,0,0,,
Mitchell Wilcox,NWE,TE,28,2,0,0,0,0,0,0,0,0,,0,0,0,0,,0,0,0,,
Avery Williams,ATL,RB,26,17,0,0,0,0,0,0,0,0,,0,0,0,0,,0,0,0,,
Brayden Willis,SFO,TE,25,10,0,0,0,0,0,0,0,0,,0,2,0,0,,0,0,0,,
D.J. Williams,TAM,RB,24,1,0,0,0,0,0,0,0,0,,0,0,0,0,,0,0,0,,
Rodney Williams,PIT,TE,26,6,0,0,0,0,0,0,0,0,,0,0,0,0,,0,0,0,,
Trayveon Williams,CIN,RB,27,17,0,0,0,0,0,0,0,0,,0,0,0,0,,0,0,0,,
Roman Wilson,PIT,WR,23,1,0,0,0,0,0,0,0,0,,0,0,0,0,,0,0,0,,
Colson Yankoff,WAS,TE,24,6,0,0,0,0,0,0,0,0,,0,0,0,0,,0,0,0,,
Dareke Young,SEA,WR,25,14,0,0,0,0,0,0,0,0,,0,1,0,0,,0,0,0,,
Sam Howell,SEA,QB,24,2,0,5,14,24,0,1,1,2,2,0,0,0,0,,0,0,0,,
Dylan Laube,LVR,RB,25,10,0,0,0,0,0,0,1,0,0,0,0,0,0,,0,1,1,,
Steven Sims,2TM,WR,27,9,0,0,0,0,0,0,1,0,0,0,0,0,0,,0,2,1,,
Kadarius Toney,CLE,WR,25,3,0,0,0,0,0,0,2,-4,-2,0,1,0,0,,0,1,1,,
Clayton Tune,ARI,QB,25,6,0,2,2,8,0,0,7,-4,-0.57,0,0,0,0,,0,1,1,,
Jha'Quan Jackson,TEN,WR,24,12,0,0,0,0,0,0,1,-5,-5,0,3,1,8,8,0,5,2,,
